Z1-SD	Z1-SD	Z1-SD	Z2-SD	Z2-SD	Z2-SD	Z3-SD	Z3-SD	Z4-FMG	Z4-ZE	Z4-FMG	Z4-ZE	Z4-FMG	Z4-ZE	Z5-FMG	Z5-ZE	Z5-FMG	Z5-ZE	Z5-FMG	Z5-ZE	Z6-ZE	Z6-FMG	Z6-ZE	Z6-FMG	Z6-ZE	Z7-FMG	Z7-ZE	Z7-FMG	Z7-ZE	Z7-ZE	Z8-FMG	Z8-ZE	Z8-FMG	Z8-ZE	Z8-FMG	Z8-ZE	Z9-FMG	Z9-ZE	Z9-FMG	Z9-ZE	Z10-FMG	Z10-ZE	Z10-ZE	Z10-FMG	Z10-ZE	Z10-ZE	Z10-FMG	Z10-ZE	Z10-ZE	Z3-SD	Z7-FMG	Z10-FMG	Z10-FMG	Z6-FMG
Picea_mature_3860	5.96711798286281	6.88802342371466	6.75965867980522	6.79300206907768	6.77371375044045	6.7655075559158	6.20602995474107	6.03107169141513	6.77608592296437	8.16350337265178	6.7012833588835	8.32724325997204	6.50814835412033	8.63490788288985	6.03115425957315	6.79630323276974	5.98042276195907	7.42278029717642	7.12997173217839	7.48898536826802	6.7839857658575	7.61795094894076	5.61924733523	7.04047648150444	6.03232537405573	7.56224016546051	7.08398475648355	6.46435111366053	6.02414591211615	6.73761713431815	6.93822005327575	6.12557497691919	7.1597978290966	5.74886662310143	7.9347035794064	6.28284900056441	5.58605468626343	5.77259437644362	7.85675018776435	6.65992095291899	7.53427640408125	6.99695577008353	6.33664379207821	7.639304116365	7.38318154290997	6.60075554164122	2.70607945818173	6.58526772297771	7.45342278599494	6.49852486216772	4.4640829977103	3.91622222913743	5.39776913971286	4.07733840831765
Picea_mature_3246	2.70607945818173	2.70607945818173	3.41811166325929	3.75970827482081	3.5322419249103	4.02311715556491	3.4729730216723	3.74502032486915	2.70607945818173	2.70607945818173	2.70607945818173	2.70607945818173	2.70607945818173	3.34354761479373	2.70607945818173	4.21679034242002	3.28903331614983	3.65508395184195	3.72538827690307	3.42447875333141	4.62186685035509	2.70607945818173	4.01507642160794	2.70607945818173	4.31080118300564	3.27893785683662	4.64429885469622	2.70607945818173	4.18927141211024	4.04840715227593	3.37631387973683	4.84193704231084	2.70607945818173	4.66676661387215	3.85645051182542	5.39206545579773	5.2098710042844	5.33114624995207	3.67272375852423	4.46392426913945	2.70607945818173	3.56869688061163	3.62560083984043	3.4150947480793	3.59587874266004	3.89733607397486	2.70607945818173	3.71110875688376	3.84588254965239	3.84527961024821	5.07406348799871	5.93125802975584	4.05965302499895	4.58379107568827
Picea_mature_1112	9.86797211280803	7.97848095672695	8.83729442322122	9.33129145372305	9.480746176052	10.8509220108149	10.8278790855824	11.124686083181	10.7011493935483	9.09958196217806	10.6104871284546	8.27532913142919	11.3412546905454	8.82406833135529	11.1191806724091	10.2278827152157	10.1650501610653	9.45887845083995	9.82597444357086	9.92827676308412	9.71015503043179	6.14138791185076	9.1039874749669	9.38158038582135	9.51069242268589	4.42588629616885	9.08916530923365	5.40773221268522	9.15777888810769	9.82190913365696	5.38067237005282	10.013681058443	6.21215436207918	9.3280870778811	6.36650836817764	9.66097553136651	8.79640769674247	9.97697806577417	5.85617093053754	9.67769691484533	5.88140358821034	8.75767176879825	7.97824021642807	5.35600079897613	7.25573910181685	8.76545353133879	5.09928211705279	8.50016634755272	8.01076321051299	11.0408238965253	10.2922659991852	9.17862385556923	8.36434509241496	11.0029747291909
Picea_mature_1593	4.27696761875292	3.7697178936071	3.70332354862598	3.98325947771659	3.85951338597669	2.70607945818173	2.70607945818173	2.70607945818173	2.70607945818173	4.23267291728031	2.70607945818173	5.33498690228891	3.63521032944389	4.08950887554414	3.27804543808425	4.55781905398546	3.70273130626916	4.74576717821278	2.70607945818173	4.50721285617564	3.86391445972528	3.27282486120281	5.01212680169	3.44482966405397	4.71894715772579	3.27893785683662	4.76814202364735	3.42588226189305	4.06919004072049	3.67173096063712	3.25494208797154	4.04544434574903	3.13324969454609	4.33627315536144	2.70607945818173	4.12215611568954	2.70607945818173	3.89767546541279	2.70607945818173	4.24966396497189	3.28682483919163	3.90909970260141	4.76488987140296	3.32162310882926	4.69633808456018	4.37182816370544	2.70607945818173	4.19440753641066	4.55929757969606	3.84527961024821	3.76135299487181	3.2598715014529	2.70607945818173	2.70607945818173
Picea_mature_2565	9.23525825283127	11.33975973043	10.380842006313	10.4854634437672	10.5754897890596	10.3675062300691	8.91023443879578	9.13681389752102	8.73655644396487	8.73815383242513	9.00798171037067	8.44156553449147	8.04228713013702	8.72598332622953	9.47010913270256	7.65793757377628	8.32518677750943	7.72208499852228	8.23602161149908	7.87163521657472	8.02879593920288	8.63850133898638	6.91073240068453	8.69752174234431	6.99727359213866	7.74878514888631	7.57289511433253	8.09412020649014	6.99663033096337	7.32145647527233	8.47422609886817	7.89090466595658	8.68354825997864	7.49185753637722	8.51175268363163	7.21846729984852	8.4066707652801	7.11969710528203	9.01607097209246	7.33934838992703	9.51490223370902	7.66806869955391	7.21537661877553	8.78625999102037	7.27578973254967	6.92909785981204	9.68291280334092	7.09142837815398	7.39938586883264	8.23214607104834	7.66270956530615	8.2476944737461	8.73508133175399	8.13595818696427
Picea_mature_4007	8.72958206156241	8.69238148340208	8.82186056563529	8.5077750035747	8.49336581380199	8.3099539945542	8.48155070494134	8.67881147439182	8.29491430062332	8.17021206568038	8.2209089650685	8.24865365778194	8.47046249225636	7.90375644092468	8.53297078403481	8.01100664144718	8.79051918540659	8.15902330421611	8.46127455900111	8.43706711095953	8.77299536327533	9.54970930580876	8.47043677017402	8.64805525894376	8.40248788697648	9.5203603264635	8.41258614259607	9.96460280865212	8.99940484074497	8.74620490804631	9.5843870429888	9.21143017643257	9.70325382533334	9.00395219088677	9.42771703849512	8.68138597008185	8.56085095237086	9.10546767936036	9.70916452229019	9.29323041643645	10.2197333595514	9.33247547633733	9.16315673135736	9.42027472406722	9.11255485666618	9.45307260990853	8.45118449640085	9.5138629458487	9.35251334918765	8.37868938593086	8.31967892294168	9.08862180610338	9.52776008251478	8.88245608232313
Picea_mature_1240	3.58697905812974	4.4770567154104	4.37357073846008	3.45919517499727	5.07812163488975	3.65295606668964	4.27384104472312	4.6731922778001	4.89300118580704	4.23267291728031	5.834955140145	5.75131464594584	5.03393756404647	4.08950887554414	4.56840644277907	3.53935969202125	4.60024667283174	4.10047769406023	5.72764051017161	6.26521750453315	4.21014308010361	4.05372618739531	3.42262870028337	4.6645915281162	4.03720479660175	4.34620657417234	3.96066562039786	3.42588226189305	5.174857180816	5.00945395371013	3.7182257870928	5.45246589373798	4.23735191291351	3.30011501615007	6.28739970088924	4.64161949680373	4.53421458266459	2.70607945818173	4.73646232591897	3.82231823556225	4.3244796199563	3.36224370395126	3.19215104811287	4.16265294695257	3.34016646729342	3.2337420912539	5.09928211705279	2.70607945818173	2.70607945818173	4.98653099649792	5.07406348799871	2.70607945818173	4.05965302499895	3.41078400049255
Picea_mature_3103	6.6211593031175	5.92088119436456	4.37357073846008	4.69836063331826	4.61515368575411	3.38151875066642	4.35066432035867	5.09508836029461	4.31944056200414	6.25943613981475	5.01137728632261	6.22672754397351	4.82567031428833	5.55793401551546	4.25847397209536	3.29933334722719	3.52507900114851	2.70607945818173	4.63941734223346	2.70607945818173	2.70607945818173	4.05372618739531	2.70607945818173	4.6645915281162	2.70607945818173	4.42588629616885	2.70607945818173	4.15800447432288	3.21982016264934	2.70607945818173	4.396899624262	2.70607945818173	4.50466911710995	2.70607945818173	4.29487940089071	2.70607945818173	2.70607945818173	3.0746559002234	4.32548495514595	2.70607945818173	4.03028595948984	2.70607945818173	2.98759539536575	4.16265294695257	3.72837132892101	2.70607945818173	2.70607945818173	2.70607945818173	2.70607945818173	4.72445131109098	3.76135299487181	3.2598715014529	3.19997138328784	4.07733840831765
Picea_mature_3869	3.10490688468101	5.38246636800807	5.42211112505137	8.3717419213383	8.24403506157366	8.94736437913057	6.92175620679115	7.01466196920405	5.97222132606476	4.85518437806397	6.7012833588835	4.35203229991712	5.972647924292	4.59952116607581	5.60123401932769	3.53935969202125	5.01127029237233	3.18695384496634	4.92220298123721	2.70607945818173	3.2965293929082	5.22549536821808	2.70607945818173	5.50264395442989	3.14046649425307	4.16830200359423	3.51418281258139	4.54793638377295	3.07030336455408	2.70607945818173	4.43256681734813	3.10547948070987	5.02175911263883	3.0046666940946	4.86198549380728	2.70607945818173	4.03908030143513	2.70607945818173	3.67272375852423	2.70607945818173	3.84557666664035	3.17203917905755	2.70607945818173	3.63723904961595	2.70607945818173	2.70607945818173	2.70607945818173	3.4907034967118	2.70607945818173	7.07517648970005	3.76135299487181	4.37369411906098	4.50869885078612	4.35776534002456
Picea_mature_2054	6.68615055509291	5.24416328043926	5.17812753612179	4.16633431423505	2.70607945818173	3.85600557132772	4.61641014011352	5.41520218368641	3.599745109527	6.01084396529689	2.70607945818173	6.1120911885399	2.70607945818173	6.5168712749426	3.50983428461763	4.93957398818602	3.52507900114851	4.10047769406023	3.43417337553224	4.25381995962596	4.30474683594586	3.81906663468898	4.01507642160794	3.44482966405397	4.09765014743886	2.70607945818173	4.17364546876789	3.12451348041077	3.83211696118858	4.26111456940372	3.25494208797154	4.19141717946933	3.13324969454609	4.54128161404494	2.70607945818173	4.12215611568954	2.70607945818173	4.41497141364343	2.70607945818173	3.93376127643821	3.11810494423477	4.39076065862119	4.61619590497686	3.57023104318834	4.69633808456018	4.34884147711826	2.70607945818173	4.50561793598272	4.13767092685507	4.15377913419622	2.70607945818173	3.2598715014529	3.68008998424828	3.69324838694982
