	S1	S2	S3	S4	S5	S6	S7	S8	Z1-SD	Z2-SD	Z3-SD	Z4-ZE	Z5-ZE	Z6-ZE	Z7-ZE	Z8-ZE	Z9-ZE	Z10-ZE	Z4-FMG	Z5-FMG	Z6-FMG	Z7-FMG	Z8-FMG	Z9-FMG	Z10-FMG
Picea_mature_3740,miR11493	-0.22350277241503655	-1.521537918779098	-0.6009490027545948	-0.34037997306628315	0.07056968107688975	-0.4846246416607824	1.3137666714619622	1.7866579561369431	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Picea_mature_2104	0.37192978558521134	1.7461021311230678	-0.018561180723973406	-0.6613700230646495	-0.8884626659674351	1.3175604821736904	-1.1643524344814777	-0.7028460946444424	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Picea_mature_3455	-0.78327886261436	-0.78327886261436	-0.78327886261436	-0.005561127681037412	-0.4123264411656735	-0.4583801800720494	1.0766793201682439	2.1494250165935993	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Picea_mature_1986	-0.3779644730092258	-0.3779644730092258	-0.3779644730092258	-0.3779644730092258	-0.3779644730092258	2.645751311064592	-0.3779644730092258	-0.3779644730092258	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Picea_mature_4000	1.0798415050552594	0.9125343300522518	-0.05036645208272015	-0.7284957394406232	-1.1362090865859262	-0.2725570971620257	-1.3312999634381535	1.5265525036019223	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Picea_mature_3860	0.03250634964356138	0.8359356654131288	-0.4554699653043301	-1.8720961406476992	-0.742891735567915	0.15601386280000273	1.7007426647695234	0.34525929889374135	0.23481613176479868	0.2570465502558566	-0.6408392502862553	2.714210376137261	0.7784730355562678	-1.2422573845745024	0.199953782575385	-0.7680921025192461	-0.6246624356634495	0.2968126313875332	0.1424859082234917	-0.9174340813184871	0.6789759238803083	-0.23226161898780695	0.8677023672211094	0.1743075573706523	-1.9192373910229277
Picea_mature_1112,miR11544	1.23286341679539	0.4397141680794678	0.28853912086196665	0.6906344702264998	-1.4443543642656926	-0.9512194957008636	-1.2905595141910309	1.034382198194262	0.03476295375842143	0.43605110593425384	1.4089922828682404	0.026514512531807102	0.6471374666318891	0.327906456093747	0.23463282457556373	0.548450993950445	0.6522024917169614	-0.32809462145262036	1.1971545607061385	0.8628167188406864	0.3742064430739149	-2.1040806754390426	-1.602403468904946	-0.907574130078149	-1.808675914807287
Picea_mature_1593	-1.4711556144914355	-1.4711556144914355	0.4973317583176855	0.24788007255002154	0.7542623579143002	-0.5312744736723667	1.5175727228086688	0.4565387910645526	0.18131903443966813	0.32300653983427197	-1.4969865528492243	0.9118116313750929	0.8374783518385079	1.9104021830053632	0.6538534606112851	0.7374281572343618	0.6609218989498671	1.2792866103804976	-1.4969865528492243	-0.5944865417193271	-0.6027240433525819	-0.3612161378474424	-0.8229584521938439	-1.4969865528492243	-0.6231630340080321
Picea_mature_4007,miR3709	-0.30006029168005777	-0.8615577691310915	-0.6421329860790711	0.7243473659663268	-0.5549411739677352	0.23245437952052256	-0.8620686707334612	2.263959146104549	-0.27665736084987486	-0.8170978156559867	-0.8441296683196953	-1.5564430565653922	-0.8361946570661408	-0.9472876130452993	-0.2386258587872244	0.35107556981483484	0.7981251156113529	1.1256281846169873	-1.2711361261282632	-0.7264853860363428	0.07310395358671545	1.5325685886173674	1.6790556661437637	0.65091827664152	1.3035821874217552
Picea_mature_4084	1.2461748886565691	0.8715108772108584	-0.3573823176829872	-0.7207774150906817	0.1306965609306219	1.3530657643087656	-1.3284053634518196	-1.194882994881324	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
