S1	S1	S1	S2	S2	S2	S3	S3	S3	S4	S4	S4	S5	S5	S5	S6	S6	S6	S7	S7	S8	S8	S8
Picea_mature_1736	4.6422379900747	5.00597082157599	4.68766110067768	5.04306100696643	4.15432791157066	4.15432791157066	4.15432791157066	4.72555905566983	4.68023343659607	4.52671323878124	4.54560030430067	4.53150756639497	4.63873104797824	4.66528292900559	4.70102946702181	4.43468500118883	5.40411565098503	5.29886915669611	6.00617776701672	5.44116700700944	4.81254909592216	4.80188151179365	5.07296440895138
Picea_mature_2464	4.15432791157066	4.15432791157066	4.15432791157066	4.67279548400442	4.15432791157066	4.15432791157066	4.15432791157066	4.44133932335849	4.52722278622192	4.81649428178852	5.08596721903292	5.29464580254672	5.05035515867149	4.95609028151135	4.89097388750017	5.02884023234927	4.9991916080724	4.82649877672664	6.04843651134321	4.80472097802093	5.16563890765888	4.99726815699958	5.12463702470302
Picea_mature_2252	5.41124627342645	5.59084476312615	5.76545997512375	6.41554564562275	6.31877872141054	7.93397653638231	4.15432791157066	4.64982745688786	4.61039990967225	4.32123329248836	4.15432791157066	4.15432791157066	4.35285822452883	4.15432791157066	4.15432791157066	4.15432791157066	4.15432791157066	4.15432791157066	4.15432791157066	4.15432791157066	4.42498522943183	4.15432791157066	4.15432791157066
Picea_mature_2113	4.99164456879933	4.15432791157066	4.68766110067768	4.15432791157066	4.15432791157066	5.58911217894971	4.15432791157066	4.15432791157066	4.52722278622192	4.70485292212447	4.77019472884618	4.84801786052825	4.55045636602637	4.61181307736112	4.60159020208806	4.43468500118883	4.54633399717067	4.15432791157066	5.65990837242672	4.5319416279633	4.53653799800952	4.32874410603045	4.47728153429105
Picea_mature_2165	7.1743962765709	7.12722215563958	7.19644232451937	6.86514162597218	6.95504428993296	5.58911217894971	4.15432791157066	6.82556525712677	6.77984760184407	6.24907915065602	5.96292798680425	5.99284166460581	6.70756971611653	6.69231887509259	6.35340429483324	5.85255720747317	6.08718172806108	6.04982194290743	8.13970072614823	7.14720899149492	7.16709261146825	7.40065971432061	6.18530762450992
Picea_mature_681	4.15432791157066	4.15432791157066	5.06801091950739	4.15432791157066	4.15432791157066	4.15432791157066	4.15432791157066	4.8517097647811	4.84721537729417	4.79581271226704	4.77019472884618	4.83367892133074	4.71280601414119	4.83704621496746	4.85737004636138	4.98519315184878	4.59227013050017	6.13896434859969	4.15432791157066	4.58994765296258	5.18223655191819	5.01415787692152	4.91584607743666
Picea_mature_4064	5.56782546115435	5.3424365094136	4.68766110067768	5.39277681839475	5.47763470001978	4.15432791157066	4.15432791157066	5.00443071078649	5.30598753400864	5.09681195560564	5.08596721903292	5.03348908541694	4.96291064698685	5.08518321618939	5.18537416922983	5.07017500248892	5.02051069544113	4.15432791157066	5.04914821368095	5.13713944094021	4.91223986411674	4.70290545718754	4.822038649354
Picea_mature_3701	6.64821982003332	6.62047905736634	6.38376050205888	6.41554564562275	6.95504428993296	6.48224135624394	4.15432791157066	6.39520884125455	7.03660619423335	6.55893346056817	6.50400405169193	6.44683664068108	6.19292561744299	5.93357832936302	5.73865114926603	6.10387422426507	5.53262720936945	4.15432791157066	6.8800998330607	6.38088799472359	7.01847887681994	6.75106922762902	7.28014652547684
Picea_mature_87	5.22574302824569	5.59084476312615	5.9667078277508	6.9507906457967	7.01719267602403	6.77025031824749	4.15432791157066	5.16977825730793	5.0183113901989	4.81649428178852	4.82797402244537	4.78857523160035	5.48337476959018	5.4674643008506	5.68497058262479	8.6551142817857	7.45401915685173	8.07995023459512	4.60708401400602	4.6409083755503	4.48557234127646	4.54339189165799	4.15432791157066
Picea_mature_3924	5.93734990275362	5.79294284296198	5.3215993377059	5.85910322841117	5.66632866352204	5.58911217894971	4.15432791157066	5.37106354845477	5.52597664311374	5.39818246286389	5.31134102229367	5.19208056826646	5.88118186576759	5.48488110125009	5.2504142449911	5.25093128541231	4.88221736075067	4.82649877672664	5.9170492739144	5.79916986786947	5.68508456170097	5.71436881080633	5.5576653608891
